"week","word","pos","definition_a","translation_a","definition_b","translation_b","definition_c","translation_c"
"17","statement","n.","A definite or clear expression in speech or writing","陳述; 聲明","A document showing account activities (bank)","結算單; 報表","",""
"17","protect","v.","To keep someone or something safe from harm","保護; 防護","To provide insurance against loss","投保; 保障","",""
"17","important","adj.","Having great value, significance, or influence","重要的","Having high status or power (person)","地位高的; 有權勢的","",""
"17","middle","n./adj.","The central point or position","中間","Equally distant from the extremes","中間的; 居中的","",""
"18","keep","v.","To continue to have or hold something","保有; 保存","To continue doing something without stopping","保持; 繼續","",""
"18","wonder","v./n.","To desire to know something; to feel curious","想知道; 納悶","A feeling of surprise and admiration","驚奇; 驚嘆","",""
"18","breathe","v.","To take air into and out of the lungs","呼吸","To say something very quietly; to whisper","低聲說; 耳語","",""
"18","save","v.","To rescue someone from danger","救; 挽救","To store money or data for later use","存錢; 儲存","",""
"19","useful","adj.","Helpful for doing or achieving something","有用的; 有益的","Able to be used for a practical purpose","實用的","",""
"19","connect","v.","To join two things together","連接; 接通","To realize that two things are related","聯想; 連結","",""
"19","matter","n./v.","A subject or situation to be dealt with","事情; 問題","Physical substance or material","物質","To be important or significant","要緊; 有關係"
"19","imagine","v.","To form a mental image or concept of something","想像","To suppose or assume something is true","猜想; 認為","",""
"20","succeed","v.","To achieve a desired aim or result","成功; 辦到","To take over a position or title from someone","繼任; 接替","",""
"20","lift","v./n.","To raise to a higher position","舉起; 抬起","A machine for carrying people up and down","電梯; 升降機","",""
"20","popular","adj.","Liked, admired, or enjoyed by many people","受歡迎的","Intended for or suited to the general public","大眾的; 通俗的","",""
"20","text","n./v.","To send a written message using a phone","傳簡訊","The main body of a book or writing","正文; 文本","",""
"21","solve","v.","To find an answer to a problem or mystery","解決","To work out the answer to a puzzle or math problem","解答","",""
"21","daily","adj./adv.","Happening or produced every day","每日的","Calculated by the day (rate/cost)","按日計算的","",""
"21","design","v./n.","To plan the look and function of something","設計; 構思","A decorative pattern","圖案; 花紋","",""
